source_id,platform,title,url,question_number,part,question_type,stem,option_a,option_b,scale_hint,raw_excerpt
mymbti_jung8_40,mymbti,荣格八维 MBTI 深度测试 - 探索你的真实人格 (纯前端安全版),https://mymbti.xyz/,1,Se,likert_5,我很享受当下的感官刺激，比如美食、音乐或运动带来的快感。,,,1-5：完全不符合 / 较不符合 / 一般 / 较符合 / 完全符合,"{ id: 1, dimension: ""Se"", text: ""我很享受当下的感官刺激，比如美食、音乐或运动带来的快感。"" }"
mymbti_jung8_40,mymbti,荣格八维 MBTI 深度测试 - 探索你的真实人格 (纯前端安全版),https://mymbti.xyz/,2,Se,likert_5,面对突发情况时，我能够迅速做出本能反应并采取行动。,,,1-5：完全不符合 / 较不符合 / 一般 / 较符合 / 完全符合,"{ id: 2, dimension: ""Se"", text: ""面对突发情况时，我能够迅速做出本能反应并采取行动。"" }"
mymbti_jung8_40,mymbti,荣格八维 MBTI 深度测试 - 探索你的真实人格 (纯前端安全版),https://mymbti.xyz/,3,Se,likert_5,我常常凭现场的感觉做决定，而不是提前做大量规划。,,,1-5：完全不符合 / 较不符合 / 一般 / 较符合 / 完全符合,"{ id: 3, dimension: ""Se"", text: ""我常常凭现场的感觉做决定，而不是提前做大量规划。"" }"
mymbti_jung8_40,mymbti,荣格八维 MBTI 深度测试 - 探索你的真实人格 (纯前端安全版),https://mymbti.xyz/,4,Se,likert_5,当我沉浸在现场氛围中时，会有一种“活在当下、世界在眼前展开”的感觉。,,,1-5：完全不符合 / 较不符合 / 一般 / 较符合 / 完全符合,"{ id: 4, dimension: ""Se"", text: ""当我沉浸在现场氛围中时，会有一种“活在当下、世界在眼前展开”的感觉。"" }"
mymbti_jung8_40,mymbti,荣格八维 MBTI 深度测试 - 探索你的真实人格 (纯前端安全版),https://mymbti.xyz/,5,Se,likert_5,对我来说，身体的节奏（如呼吸、步伐、音乐节拍）常常会自然引导我的行动。,,,1-5：完全不符合 / 较不符合 / 一般 / 较符合 / 完全符合,"{ id: 5, dimension: ""Se"", text: ""对我来说，身体的节奏（如呼吸、步伐、音乐节拍）常常会自然引导我的行动。"" }"
mymbti_jung8_40,mymbti,荣格八维 MBTI 深度测试 - 探索你的真实人格 (纯前端安全版),https://mymbti.xyz/,6,Si,likert_5,我非常依赖以往的经验来判断现在的情况是否可靠。,,,1-5：完全不符合 / 较不符合 / 一般 / 较符合 / 完全符合,"{ id: 6, dimension: ""Si"", text: ""我非常依赖以往的经验来判断现在的情况是否可靠。"" }"
mymbti_jung8_40,mymbti,荣格八维 MBTI 深度测试 - 探索你的真实人格 (纯前端安全版),https://mymbti.xyz/,7,Si,likert_5,我习惯按照固定的日常流程和习惯来安排生活。,,,1-5：完全不符合 / 较不符合 / 一般 / 较符合 / 完全符合,"{ id: 7, dimension: ""Si"", text: ""我习惯按照固定的日常流程和习惯来安排生活。"" }"
mymbti_jung8_40,mymbti,荣格八维 MBTI 深度测试 - 探索你的真实人格 (纯前端安全版),https://mymbti.xyz/,8,Si,likert_5,我对细节、规程和历史记录有很强的记忆与重视。,,,1-5：完全不符合 / 较不符合 / 一般 / 较符合 / 完全符合,"{ id: 8, dimension: ""Si"", text: ""我对细节、规程和历史记录有很强的记忆与重视。"" }"
mymbti_jung8_40,mymbti,荣格八维 MBTI 深度测试 - 探索你的真实人格 (纯前端安全版),https://mymbti.xyz/,9,Si,likert_5,熟悉的路线、味道或气味，会让我产生一种被记忆包裹的安全感。,,,1-5：完全不符合 / 较不符合 / 一般 / 较符合 / 完全符合,"{ id: 9, dimension: ""Si"", text: ""熟悉的路线、味道或气味，会让我产生一种被记忆包裹的安全感。"" }"
mymbti_jung8_40,mymbti,荣格八维 MBTI 深度测试 - 探索你的真实人格 (纯前端安全版),https://mymbti.xyz/,10,Si,likert_5,面对重要决定时，我会本能地回想过去类似场景，像翻看一部自己的历史纪录片。,,,1-5：完全不符合 / 较不符合 / 一般 / 较符合 / 完全符合,"{ id: 10, dimension: ""Si"", text: ""面对重要决定时，我会本能地回想过去类似场景，像翻看一部自己的历史纪录片。"" }"
